標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
多城Ｈ＆Ｍ輕奢三房雙平車多城國際H&M,高雄市左營區文恩路,8.1年,大樓,65.57,27.57,3房2廳2衛,9樓/12樓,兩個以上車位,2,2987MP,2025-10-01 15:19:56
店長推薦低總價三房平車,高雄市仁武區仁忠一街,3.2年,華廈,29.07,19,3房2廳2衛,5樓/5樓,一樓平面車位,1,7045CH,2025-10-01 15:19:56
✨巨蛋聯上．採光２房平車聯上F1,高雄市左營區立文路,11.5年,大樓,34.28,16.1,2房2廳1衛,11樓/15樓,坡道平面車位,1,3048NN,2025-10-01 15:19:56
達麗海天三房坡平車。專任達麗海天,高雄市楠梓區廣昌街,9.9年,大樓,54.07,31.18,3房2廳2衛,3樓/15樓,坡道平面車位,1,7574GU,2025-10-01 15:19:56
義華商圈．稀有一樓公寓,高雄市三民區正豐街,42.1年,公寓,18.62,18.62,3房2廳2衛,1樓/5樓,無車位,828,9804UJ,2025-10-01 15:19:56
⭐高樓美景溫馨兩房平車,高雄市仁武區永新五街,3.4年,大樓,34.02,16.08,2房2廳1衛,12樓/13樓,坡道平面車位,998,3918YN,2025-10-01 15:19:56
近楊寶寶高樓美三房平車吉祥如逸,高雄市楠梓區朝明路,13.2年,大樓,46.31,24.61,3房2廳2衛,10樓/12樓,坡道平面車位,1,3331SP,2025-10-01 15:19:56
絕．當代紀念座三房雙平車寶成當代紀念座,高雄市前金區民生二路,33.4年,大樓,87.25,52.66,3房2廳3衛1室,7樓/18樓,兩個以上車位,2,2123BD,2025-10-01 15:19:56
✨京典｜明星學區三房車位京城京典,高雄市鼓山區明誠三路,19.1年,大樓,37.34,25.65,3房2廳2衛,11樓/15樓,坡道機械車位,1,6024PZ,2025-10-01 15:19:56
優詩美第美四房,高雄市大寮區承德街,29.5年,華廈,45.26,33.48,4房2廳2衛,3樓/6樓,無車位,838,0388MH,2025-10-01 15:19:56
近捷運三面採光挑高三房時代爵邸,高雄市左營區文康路,27.8年,大樓,29.82,22.17,3房2廳2衛,6樓/13樓,無車位,1,7132TW,2025-10-01 15:19:56
太普【新光線上】三房車位太普新光線上,高雄市左營區重建路,14.8年,大樓,44.95,26.97,3房2廳2衛,6樓/15樓,坡道機械車位,1,0683MK,2025-10-01 15:19:56
巨蛋捷運公園旁漂亮透天墅,高雄市左營區至真路,47.1年,別墅/透天,24.35,24.35,6房2廳3衛(含加蓋4房2衛),1-2樓/2樓,無車位,2,0527MJ,2025-10-01 15:19:56
智慧港灣軟科園區高樓景觀高雄軟體科技園區...,高雄市前鎮區復興四路,17.7年,辦公/大樓,137.16,61.46,1廳6室,12樓/12樓,兩個以上車位,3,0995WT,2025-10-01 15:19:56
巨蛋首排高樓市景美邸巨蛋公園,高雄市左營區新莊一路,29.6年,大樓,54.38,37.55,3房2廳2衛,11樓/23樓,坡道機械車位,1,8047LT,2025-10-01 15:20:05
【專簽】近科技廠寬敞店鋪,高雄市楠梓區外環西路,42.2年,店面,26.27,16.11,2房1廳1衛(含加蓋2房),1樓/5樓,無車位,1,8670XC,2025-10-01 15:20:05
